No.,Name,Image,Game8 Link,Type,Abilities
1,Doduo,https://img.game8.co/3419698/e412c8ac1a0ed4997cc42f49d8fe6048.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/420933,Normal&Flying,Run Away&Early Bird&Tangled Feet
2,Dodrio,https://j-img.game8.co/2216202/5b72874a5662e74bbed172e482f73bd5.png/show?1540444218,https://game8.co/games/Pokemon-Scarlet-Violet/archives/420934,Normal&Flying,Run Away&Early Bird&Tangled Feet
3,Exeggcute,https://j-img.game8.co/2216265/1297f28c15ce8a5f53ef1446987066fa.png/show?1540444219,https://game8.co/games/Pokemon-Scarlet-Violet/archives/416172,Grass&Psychic,Chlorophyll&Harvest
4,Exeggutor,https://j-img.game8.co/2216279/2ba98032426f171e01b5aa23fc940769.png/show?1540444220,https://game8.co/games/Pokemon-Scarlet-Violet/archives/435212,Grass&Psychic,Chlorophyll&Harvest
4.1,Alolan Exeggutor,https://img.game8.co/3397662/12067812bdaa432897769bec11160236.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/416171,Grass&Dragon,Frisk&Harvest
5,Rhyhorn,https://img.game8.co/3396360/6e777fb248d5b4c73d151c4ca1c5ef14.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/420928,Ground&Rock,Lightning Rod&Rock Head&Reckless
6,Rhydon,https://img.game8.co/3396359/68133e9d2991802093658acfe2a56b20.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/420929,Ground&Rock,Lightning Rod&Rock Head&Reckless
7,Rhyperior,https://img.game8.co/3397447/c185cb02ddf9b1dbb0fbc06626926c66.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/420930,Ground&Rock,Lightning Rod&Solid Rock&Reckless
8,Venonat,https://j-img.game8.co/2216240/34a459751a21813f651bdc8f66b64487.png/show?1540444219,https://game8.co/games/Pokemon-Scarlet-Violet/archives/388250,Bug&Poison,Compound Eyes&Tinted Lens&Run Away
9,Venomoth,https://j-img.game8.co/2216192/6ca5fc956bdf93c29a254fffa49eba20.png/show?1540444218,https://game8.co/games/Pokemon-Scarlet-Violet/archives/396869,Bug&Poison,Shield Dust&Tinted Lens&Wonder Skin
10,Elekid,https://img.game8.co/3396301/47bf3327c312d68e39fafc0b6b440d1d.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/436905,Electric,Static&Vital Spirit
11,Electabuzz,https://img.game8.co/3396443/669d2f1ab16566e783798ce3bf6f6e4c.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/436906,Electric,Static&Vital Spirit
12,Electivire,https://img.game8.co/3559678/4980e0bb27411bd9d3e662bb8a48ef21.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/436923,Electric,Motor Drive&Vital Spirit
13,Magby,https://img.game8.co/3396305/c7c76015f082a0233befaa3fafeffdad.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/420922,Fire,Flame Body&Vital Spirit
14,Magmar,https://img.game8.co/3396441/2a888323f6fec80cb4ad45eb3e8a1531.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/420923,Fire,Flame Body&Vital Spirit
15,Magmortar,https://img.game8.co/3397511/3a4c2102c476a8bce3e8a38bef392b0c.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/420924,Fire,Flame Body&Vital Spirit
16,Happiny,https://j-img.game8.co/4515224/de4129d0d0fb82b606e35f330830101b.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/394492,Normal,Natural Cure&Serene Grace&Friend Guard
17,Chansey,https://j-img.game8.co/3930098/8b5a145e255f74aadb3d84635ea2dd5d.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/388727,Normal,Natural Cure&Serene Grace&Healer
18,Blissey,https://j-img.game8.co/4515226/544a3da9aa586d1f3dbd49663be64f33.png/show,https://game8.co/games/Pokemon-Scarlet-Violet/archives/388274,Normal,Natural Cure&Serene Grace&Healer
