No.,Name,Image,Type,Abilities
26.1,Alolan Raichu,https://img.game8.co/3397597/5c4d8869231d3722c2781ae7294c7b87.png/show,Electric&Psychic,Surge Surfer
52.1,Alolan Meowth,https://img.game8.co/3397591/76d107c25da2659587141b878a84d61d.png/show,Dark,Pickup&Technician&Rattled
52.2,Galarian Meowth,https://j-img.game8.co/4506345/2d05bdaf29ae803881e72d570b2a6429.png/show,Steel,Pickup&Tough Claws&Unnerve
53.1,Alolan Persian,https://img.game8.co/3397592/ac6c18532e90341b9903996b4b5a50b6.png/show,Dark,Fur Coat&Technician
58.1,Hisuian Growlithe,https://img.game8.co/3405367/c599b29a9c662fc1ddcd56e541d630c9.png/show,Fire&Rock,Intimidate&Flash Fire&Rock Head
59.1,Hisuian Arcanine,https://img.game8.co/3559232/279c3f53ea2f45619190677a290bb1df.png/show,Fire&Rock,Intimidate&Flash Fire&Rock Head
100.1,Hisuian Voltorb,https://img.game8.co/3458545/63226e8ca338d10c9ca1c5a35e508d4f.png/show,Electric&Grass,Soundproof&Static&Aftermath
101.1,Hisuian Electrode,https://img.game8.co/3559392/0b0ce3aeb421a75a4b0aa19192462ecf.png/show,Electric&Grass,Soundproof&Static
110.1,Galarian Weezing,https://img.game8.co/3396989/ea114a1425e57a712ab52469007ec9cd.png/show,Poison&Fairy,Levitate&Neutralizing Gas&Misty Surge
144.1,Galarian Articuno,https://img.game8.co/3397184/36e0839ea900812104b24b36cfa9bc96.png/show,Psychic&Flying,Competitive
145.1,Galarian Zapdos,https://img.game8.co/3397185/ef0e0934eaad9a175d4b322bd8b693e0.png/show,Fighting&Flying,Defiant
146.1,Galarian Moltres,https://img.game8.co/3397182/db9f583fa6c7ec20aacb7abd64297f36.png/show,Dark&Flying,Berserk
150,Mewtwo,https://img.game8.co/3559574/5607d4ab2a8f3e0cab6000a51bbf5604.png/show,Psychic,Pressure&Unnerve
151,Mew,https://img.game8.co/3559575/9c9ae86cf65c1dea79b02c8ae304beee.png/show,Psychic,Synchronize
157.1,Hisuian Typhlosion,https://img.game8.co/3487536/b73e42f1346cbb9da3553593fd9a5154.png/show,Fire&Ghost,Blaze&Frisk
215.1,Hisuian Sneasel,https://img.game8.co/3487720/ad931bef80a9cef239a048e4b43cf174.png/show,Poison&Fighting,Inner Focus&Pickpocket
377,Regirock,https://j-img.game8.co/2216617/c3d908985eb4dd074cbbc83ead1cf742.png/show?1540444404,Rock,Clear Body&Sturdy
378,Regice,https://j-img.game8.co/2216612/87e6db55676be368785f0f8beecc8f64.png/show?1540444404,Ice,Clear Body&Ice Body
379,Registeel,https://j-img.game8.co/2216610/4c9c8ed8a803ce0fa6f0b65c073ffcff.png/show?1540444404,Steel,Clear Body&Light Metal
385,Jirachi,https://img.game8.co/3559582/aaed749d5ac9c76252771a4ab5db7fb2.png/show,Steel&Psychic,Serene Grace
386,Deoxys (Normal Forme),https://j-img.game8.co/2216626/b6c6e91485e0af0b908f6c9da287f45b.png/show?1540444404,Psychic,Pressure
386.1,Deoxys (Attack Forme),https://j-img.game8.co/2216605/89d350eef95fefe12e385e62d0363a33.png/show?1540444404,Psychic,Pressure
386.2,Deoxys (Defense Forme),https://j-img.game8.co/2216627/e0757c527b14ba2554f7e61e27ad6dc4.png/show?1540444405,Psychic,Pressure
386.3,Deoxys (Speed Forme),https://j-img.game8.co/2216621/16e83b9789b226754cbd06b33f06f1f2.png/show?1540444404,Psychic,Pressure
