Name,Type,Category,Power,Accuracy,PP,Short-Effect,Full-Effect
"10,000,000 Volt Thunderbolt",Electric,Special,195,—,1,Pikachu-exclusive Z-Move. High critical hit ratio.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Absorb,Grass,Special,20,100,25,User recovers half the HP inflicted on opponent.,A nutrient-draining attack. The user’s HP is restored by up to half the damage taken by the target.
Accelerock,Rock,Physical,40,100,20,User attacks first.,The user smashes into the target at high speed. This move always goes first.
Acid,Poison,Special,40,100,30,May lower opponent's Special Defense.,Opposing Pokémon are attacked with a spray of harsh acid. This may also lower their Sp. Def stats.
Acid Armor,Poison,Status,—,—,20,Sharply raises user's Defense.,"The user alters its cellular structure to liquefy itself, sharply boosting its Defense stat."
Acid Downpour,Poison,None,—,—,1,Poison type Z-Move.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Acid Spray,Poison,Special,40,100,20,Sharply lowers opponent's Special Defense.,The user attacks by spitting fluid that works to melt the target. This also harshly lowers the target’s Sp. Def stat.
Acrobatics,Flying,Physical,55,100,15,Stronger when the user does not have a held item.,The user nimbly strikes the target. This attack does massive damage if the user isn’t holding an item.
Acupressure,Normal,Status,—,—,30,Sharply raises a random stat.,"The user applies pressure to stress points, sharply boosting one of its or its allies’ stats."
Aerial Ace,Flying,Physical,60,∞,20,Ignores Accuracy and Evasiveness.,"The user confounds the target with speed, then slashes. This attack never misses."
Aeroblast,Flying,Special,100,95,5,High critical hit ratio.,A vortex of air is shot at the target to inflict damage. This move has a heightened chance of landing a critical hit.
After You,Normal,Status,—,—,15,Gives target priority in the next turn.,The user helps the target and makes it use its move right after the user.
Agility,Psychic,Status,—,—,30,Sharply raises user's Speed.,The user relaxes and lightens its body to move faster. This sharply boosts its Speed stat.
Air Cutter,Flying,Special,60,95,25,High critical hit ratio.,The user launches razor-like wind to slash opposing Pokémon. This move has a heightened chance of landing a critical hit.
Air Slash,Flying,Special,75,95,15,May cause flinching.,The user attacks with a blade of air that slices even the sky. This may also make the target flinch.
All-Out Pummeling,Fighting,None,—,—,1,Fighting type Z-Move.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Alluring Voice,Fairy,Special,80,100,10,,TM227
Ally Switch,Psychic,Status,—,—,15,User switches with opposite teammate.,The user teleports using a strange power and switches places with one of its allies. This move’s chance of failing rises if it is used in succession.
Amnesia,Psychic,Status,—,—,20,Sharply raises user's Special Defense.,The user temporarily empties its mind to forget its concerns. This sharply boosts the user’s Sp. Def stat.
Anchor Shot,Steel,Physical,80,100,20,The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.,The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.
Ancient Power,Rock,Special,60,100,5,May raise all user's stats at once.,The user attacks with a prehistoric power. This may also boost all the user’s stats at once.
Apple Acid,Grass,Special,80,100,10,Lowers target's Special Defense.,The user attacks the target with an acidic liquid created from tart apples. This also lowers the target’s Sp. Def stat.
Aqua Cutter,Water,Physical,70,100,20,High critical hit ratio.,The user expels pressurized water to cut at the target like a blade. This move has a heightened chance of landing a critical hit.
Aqua Jet,Water,Physical,40,100,20,User attacks first.,"The user lunges at the target to inflict damage, moving at blinding speed. This move always goes first."
Aqua Ring,Water,Status,—,—,20,Restores a little HP each turn.,The user envelops itself in a veil made of water. It regains some HP every turn.
Aqua Step,Water,Physical,80,100,10,Raises user's Speed.,The user toys with the target and attacks it using light and fluid dance steps. This also boosts the user’s Speed stat.
Aqua Tail,Water,Physical,90,90,10,,The user attacks by swinging its tail as if it were a vicious wave in a raging storm.
Arm Thrust,Fighting,Physical,15,100,20,Hits 2-5 times in one turn.,The user attacks the target with open-palmed arm thrusts. This move hits two to five times in a row.
Armor Cannon,Fire,Special,120,100,5,Lowers user's Defense and Special Defense.,The user shoots its own armor out as blazing projectiles. This also lowers the user’s Defense and Sp. Def stats.
Aromatherapy,Grass,Status,—,—,5,Cures all status problems in your party.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Aromatic Mist,Fairy,Status,—,—,20,Raises Special Defense of an ally.,The user boosts the Sp. Def stat of an ally Pokémon by using a mysterious aroma.
Assist,Normal,Status,—,—,20,User performs a move known by its allies at random.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Assurance,Dark,Physical,60,100,10,Power doubles if opponent already took damage in the same turn.,This move’s power is doubled if the target has already taken some damage in the same turn.
Astonish,Ghost,Physical,30,100,15,May cause flinching.,The user attacks the target by crying out in a startling fashion. This may also make the target flinch.
Astral Barrage,Ghost,Special,120,100,5,The user attacks by sending a frightful amount of small ghosts at opposing Pokémon.,The user attacks by sending a frightful amount of small ghosts at opposing Pokémon.
Attack Order,Bug,Physical,90,100,15,High critical hit ratio.,The user calls out its underlings to pummel the target. This move has a heightened chance of landing a critical hit.
Attract,Normal,Status,—,100,15,"If opponent is the opposite gender, it's less likely to attack.","If the target is of the opposite gender to the user, it becomes infatuated with the user and will sometimes be unable to use its moves."
Aura Sphere,Fighting,Special,80,∞,20,Ignores Accuracy and Evasiveness.,The user lets loose a pulse of aura power from deep within its body at the target. This attack never misses.
Aura Wheel,Electric,Physical,110,100,10,Changes type based on Morpeko's Mode.,Morpeko attacks and boosts its Speed stat with the energy stored in its cheeks. This move’s type changes depending on the user’s form.
