No.,Name,Image,Type,Abilities
1,Spinarak,https://j-img.game8.co/2216372/af20d2f3aaf6ffcaa76d947cf87f7067.png/show?1540444326,Bug&Poison,Swarm&Insomnia&Sniper
2,Ariados,https://j-img.game8.co/2216384/9db39b51325d00fec58aa48ddfcbb3c2.png/show?1540444326,Bug&Poison,Swarm&Insomnia&Sniper
3,Yanma,https://j-img.game8.co/6064564/6f88a649b79203502bcbe58a3fd47150.png/show,Bug&Flying,Speed Boost&Compound Eyes&Frisk
4,Yanmega,https://j-img.game8.co/6064749/1b3a3318aef6ec4d96b63ed691b7510e.png/show,Bug&Flying,Speed Boost&Tinted Lens&Frisk
5,Wooper,https://j-img.game8.co/4506540/4f350585fc009831e37bd5a6037e5848.png/show,Water&Ground,Damp&Water Absorb&Unaware
6,Quagsire,https://j-img.game8.co/4506469/fcdebf3edda26e4974635da957b82db3.png/show,Water&Ground,Damp&Water Absorb&Unaware
7,Poochyena,https://img.game8.co/3412660/ebc18b85e9194e4f4d8a950a6487b5a9.png/show,Dark,Run Away&Quick Feet&Rattled
8,Mightyena,https://img.game8.co/3412663/a7a5dbfced6dde77ca8d8c11d30c378d.png/show,Dark,Intimidate&Quick Feet&Moxie
9,Volbeat,https://j-img.game8.co/2216522/73d32e2910721b8b5d0ca8b80709de56.png/show?1540444401,Bug,Illuminate&Swarm&Prankster
10,Illumise,https://j-img.game8.co/2216505/a8835eb92302ba5e04ceaa9ff3d5f517.png/show?1540444401,Bug,Oblivious&Tinted Lens&Prankster
11,Corphish,https://j-img.game8.co/2216606/d7d317fab3882029c4e2e5aab2123e85.png/show?1540444403,Water,Hyper Cutter&Shell Armor&Adaptability
12,Crawdaunt,https://j-img.game8.co/2216616/86adf98965e65470a50c0054557f12d6.png/show?1540444403,Water&Dark,Hyper Cutter&Shell Armor&Adaptability
13,Sewaddle,https://j-img.game8.co/2217488/8f17b140397b2d8ac14790cf542829e0.png/show?1540449214,Bug&Grass,Swarm&Chlorophyll&Overcoat
14,Swadloon,https://j-img.game8.co/2217444/a9f9b52c72959c329863cc73580b51e1.png/show?1540449213,Bug&Grass,Leaf Guard&Chlorophyll&Overcoat
15,Leavanny,https://j-img.game8.co/2217448/842c910177b524bcd46147747f01845d.png/show?1540449213,Bug&Grass,Swarm&Chlorophyll&Overcoat
16,Cutiefly,https://img.game8.co/3397596/84ddc7f929852e8874cff05ff5444680.png/show,Bug&Fairy,Honey Gather&Shield Dust&Sweet Veil
17,Ribombee,https://img.game8.co/3397595/ff14976b355da5088556aca3caf4a441.png/show,Bug&Fairy,Honey Gather&Shield Dust&Sweet Veil
18,Ekans,https://j-img.game8.co/2216244/aaafdbb934c081cf134a00bff18db852.png/show?1540444219,Poison,Intimidate&Shed Skin&Unnerve
19,Arbok,https://j-img.game8.co/2216259/c47adf0477290baf7900ba15380cdf8a.png/show?1540444219,Poison,Intimidate&Shed Skin&Unnerve
20,Pichu,https://j-img.game8.co/4506472/be923b533ac011ddd789a8c6554f1c5b.png/show,Electric,Static&Lightning Rod
21,Pikachu,https://j-img.game8.co/4505974/d2603e2e5935f7783308ac9e0340626c.png/show,Electric,Static&Lightning Rod
22,Raichu,https://j-img.game8.co/4505914/3826531c3eed43c090d3e3cd08b2a618.png/show,Electric,Static&Lightning Rod
23,Bellsprout,https://j-img.game8.co/2216177/08a82a80af3b14cf33c1961cfa17bfc3.png/show?1540444218,Grass&Poison,Chlorophyll&Gluttony
