Name,Level-Up Learnset,TM Learnset,Egg Moves
Chikorita,"— : Tackle,— : Tail Whip,6 : Leafage,9 : Disarming Voice,12 : Razor Leaf,14 : Leech Seed,22 : Body Slam,27 : Reflect,36 : Safeguard,40 : Synthesis,45 : Solar Beam,50 : Light Screen,56 : Leaf Storm,","TM001 : Headbutt,TM016 : Light Screen,TM017 : Protect,TM026 : Energy Ball,TM030 : Swords Dance,TM031 : Reflect,TM032 : Double Team,TM033 : Body Slam,TM035 : Endure,TM040 : Bullet Seed,TM045 : Knock Off,TM051 : Safeguard,TM052 : Earth Power,TM056 : Double-Edge,TM064 : Solar Beam,TM078 : Bulldoze,TM085 : Substitute,TM087 : Iron Tail,TM091 : Curse,TM092 : Dazzling Gleam,TM103 : Work Up,TM109 : Facade,TM115 : Trailblaze,TM120 : Ancient Power,TM128 : Seed Bomb,TM152 : Solar Blade,","Vine Whip,Counter,Flail,Ancient Power,Ingrain,Heal Pulse,"
Bayleef,"Evolve : Giga Drain,— : Tackle,— : Tail Whip,6 : Leafage,9 : Disarming Voice,12 : Razor Leaf,14 : Leech Seed,22 : Body Slam,27 : Reflect,36 : Safeguard,40 : Synthesis,45 : Solar Beam,50 : Light Screen,56 : Leaf Storm,","TM001 : Headbutt,TM004 : Rock Smash,TM016 : Light Screen,TM017 : Protect,TM026 : Energy Ball,TM030 : Swords Dance,TM031 : Reflect,TM032 : Double Team,TM033 : Body Slam,TM035 : Endure,TM040 : Bullet Seed,TM042 : Giga Drain,TM045 : Knock Off,TM051 : Safeguard,TM052 : Earth Power,TM056 : Double-Edge,TM064 : Solar Beam,TM078 : Bulldoze,TM085 : Substitute,TM087 : Iron Tail,TM091 : Curse,TM092 : Dazzling Gleam,TM103 : Work Up,TM109 : Facade,TM115 : Trailblaze,TM120 : Ancient Power,TM128 : Seed Bomb,TM152 : Solar Blade,","Vine Whip,Counter,Flail,Ancient Power,Ingrain,Heal Pulse,"
Meganium,"Evolve : Leaf Blade,— : Giga Drain,— : Tackle,— : Tail Whip,6 : Leafage,9 : Disarming Voice,12 : Razor Leaf,14 : Leech Seed,22 : Body Slam,27 : Reflect,36 : Safeguard,40 : Synthesis,45 : Solar Beam,50 : Light Screen,56 : Leaf Storm,","TM001 : Headbutt,TM004 : Rock Smash,TM016 : Light Screen,TM017 : Protect,TM026 : Energy Ball,TM030 : Swords Dance,TM031 : Reflect,TM032 : Double Team,TM033 : Body Slam,TM035 : Endure,TM040 : Bullet Seed,TM042 : Giga Drain,TM044 : Hyper Beam,TM045 : Knock Off,TM051 : Safeguard,TM052 : Earth Power,TM055 : Giga Impact,TM056 : Double-Edge,TM064 : Solar Beam,TM069 : Earthquake,TM078 : Bulldoze,TM085 : Substitute,TM087 : Iron Tail,TM091 : Curse,TM092 : Dazzling Gleam,TM093 : Outrage,TM103 : Work Up,TM109 : Facade,TM115 : Trailblaze,TM120 : Ancient Power,TM128 : Seed Bomb,TM151 : Petal Dance,TM152 : Solar Blade,TM160 : Frenzy Plant,","Vine Whip,Counter,Flail,Ancient Power,Ingrain,Heal Pulse,"
Tepig,"— : Tackle,— : Tail Whip,6 : Ember,10 : Rollout,13 : Smokescreen,15 : Flame Wheel,20 : Fire Spin,24 : Focus Energy,29 : Flamethrower,32 : Take Down,50 : Flare Blitz,56 : Head Smash,","TM001 : Headbutt,TM005 : Roar,TM017 : Protect,TM028 : Dig,TM032 : Double Team,TM035 : Endure,TM038 : Fire Blast,TM050 : Overheat,TM057 : Will-O-Wisp,TM062 : Flamethrower,TM068 : Heat Wave,TM072 : Fire Spin,TM085 : Substitute,TM086 : Wild Charge,TM095 : Taunt,TM103 : Work Up,TM104 : Flare Blitz,TM109 : Facade,TM114 : Flame Charge,TM115 : Trailblaze,","Thrash,Superpower,Yawn,Sucker Punch,"
Pignite,"Evolve : Power-Up Punch,— : Tackle,— : Tail Whip,6 : Ember,10 : Rollout,13 : Smokescreen,15 : Flame Wheel,20 : Fire Spin,24 : Focus Energy,29 : Flamethrower,32 : Take Down,36 : Bulk Up,50 : Flare Blitz,56 : Head Smash,","TM001 : Headbutt,TM004 : Rock Smash,TM005 : Roar,TM010 : Brick Break,TM011 : Bulk Up,TM012 : Rock Slide,TM017 : Protect,TM018 : Power-Up Punch,TM028 : Dig,TM029 : Fire Punch,TM032 : Double Team,TM035 : Endure,TM036 : Rock Tomb,TM038 : Fire Blast,TM045 : Knock Off,TM050 : Overheat,TM056 : Double-Edge,TM057 : Will-O-Wisp,TM059 : Zen Headbutt,TM062 : Flamethrower,TM065 : Stone Edge,TM068 : Heat Wave,TM072 : Fire Spin,TM077 : Poison Jab,TM085 : Substitute,TM086 : Wild Charge,TM095 : Taunt,TM102 : Focus Blast,TM103 : Work Up,TM104 : Flare Blitz,TM109 : Facade,TM113 : Low Sweep,TM114 : Flame Charge,TM115 : Trailblaze,TM131 : Drain Punch,","Thrash,Superpower,Yawn,Sucker Punch,"
Emboar,"Evolve : Heat Crash,— : Power-Up Punch,— : Tackle,— : Tail Whip,6 : Ember,10 : Rollout,13 : Smokescreen,15 : Flame Wheel,20 : Fire Spin,24 : Focus Energy,29 : Flamethrower,32 : Take Down,36 : Bulk Up,45 : Close Combat,50 : Flare Blitz,56 : Head Smash,","TM001 : Headbutt,TM004 : Rock Smash,TM005 : Roar,TM010 : Brick Break,TM011 : Bulk Up,TM012 : Rock Slide,TM017 : Protect,TM018 : Power-Up Punch,TM023 : Thunder Punch,TM028 : Dig,TM029 : Fire Punch,TM032 : Double Team,TM035 : Endure,TM036 : Rock Tomb,TM038 : Fire Blast,TM044 : Hyper Beam,TM045 : Knock Off,TM050 : Overheat,TM055 : Giga Impact,TM056 : Double-Edge,TM057 : Will-O-Wisp,TM058 : Iron Head,TM059 : Zen Headbutt,TM062 : Flamethrower,TM065 : Stone Edge,TM068 : Heat Wave,TM069 : Earthquake,TM072 : Fire Spin,TM077 : Poison Jab,TM085 : Substitute,TM086 : Wild Charge,TM091 : Curse,TM095 : Taunt,TM102 : Focus Blast,TM103 : Work Up,TM104 : Flare Blitz,TM107 : Close Combat,TM108 : Comet Punch,TM109 : Facade,TM113 : Low Sweep,TM114 : Flame Charge,TM115 : Trailblaze,TM129 : Circle Throw,TM131 : Drain Punch,TM135 : Dual Chop,TM137 : Storm Throw,TM148 : Scald,TM150 : Vacuum Wave,TM152 : Solar Blade,TM158 : Blast Burn,","Thrash,Superpower,Yawn,Sucker Punch,"
Totodile,"— : Tackle,— : Leer,6 : Water Gun,10 : Bite,15 : Bubble Beam,21 : Aqua Jet,26 : Breaking Swipe,35 : Screech,40 : Liquidation,50 : Hydro Pump,56 : Outrage,","TM002 : Dragon Claw,TM009 : Flip Turn,TM010 : Brick Break,TM012 : Rock Slide,TM013 : Ice Beam,TM015 : Ice Fang,TM017 : Protect,TM028 : Dig,TM030 : Swords Dance,TM032 : Double Team,TM035 : Endure,TM036 : Rock Tomb,TM041 : Water Pulse,TM049 : Icy Wind,TM070 : Whirlpool,TM073 : Surf,TM076 : Liquidation,TM078 : Bulldoze,TM085 : Substitute,TM091 : Curse,TM093 : Outrage,TM096 : Hydro Pump,TM098 : Waterfall,TM103 : Work Up,TM105 : Blizzard,TM109 : Facade,TM110 : Chilling Water,TM115 : Trailblaze,TM120 : Ancient Power,TM124 : Psychic Fangs,TM140 : Muddy Water,","Counter,Ancient Power,Flatter,Block,Aqua Jet,"
Croconaw,"Evolve : Slash,— : Tackle,— : Leer,6 : Water Gun,10 : Bite,15 : Bubble Beam,21 : Aqua Jet,26 : Breaking Swipe,35 : Screech,40 : Liquidation,50 : Hydro Pump,56 : Outrage,","TM002 : Dragon Claw,TM004 : Rock Smash,TM005 : Roar,TM009 : Flip Turn,TM010 : Brick Break,TM012 : Rock Slide,TM013 : Ice Beam,TM015 : Ice Fang,TM017 : Protect,TM028 : Dig,TM030 : Swords Dance,TM032 : Double Team,TM035 : Endure,TM036 : Rock Tomb,TM041 : Water Pulse,TM049 : Icy Wind,TM070 : Whirlpool,TM073 : Surf,TM076 : Liquidation,TM078 : Bulldoze,TM085 : Substitute,TM091 : Curse,TM093 : Outrage,TM096 : Hydro Pump,TM098 : Waterfall,TM103 : Work Up,TM105 : Blizzard,TM109 : Facade,TM110 : Chilling Water,TM115 : Trailblaze,TM120 : Ancient Power,TM124 : Psychic Fangs,TM140 : Muddy Water,","Counter,Ancient Power,Flatter,Block,Aqua Jet,"
Feraligatr,"Evolve : Crunch,— : Tackle,— : Leer,— : Slash,6 : Water Gun,10 : Bite,15 : Bubble Beam,21 : Aqua Jet,26 : Breaking Swipe,35 : Screech,40 : Liquidation,50 : Hydro Pump,56 : Outrage,","TM002 : Dragon Claw,TM004 : Rock Smash,TM005 : Roar,TM009 : Flip Turn,TM010 : Brick Break,TM012 : Rock Slide,TM013 : Ice Beam,TM015 : Ice Fang,TM017 : Protect,TM025 : Crunch,TM028 : Dig,TM030 : Swords Dance,TM032 : Double Team,TM035 : Endure,TM036 : Rock Tomb,TM041 : Water Pulse,TM044 : Hyper Beam,TM047 : Agility,TM049 : Icy Wind,TM055 : Giga Impact,TM056 : Double-Edge,TM069 : Earthquake,TM070 : Whirlpool,TM073 : Surf,TM076 : Liquidation,TM078 : Bulldoze,TM085 : Substitute,TM091 : Curse,TM093 : Outrage,TM096 : Hydro Pump,TM098 : Waterfall,TM103 : Work Up,TM105 : Blizzard,TM109 : Facade,TM110 : Chilling Water,TM115 : Trailblaze,TM120 : Ancient Power,TM124 : Psychic Fangs,TM140 : Muddy Water,TM143 : Scale Shot,TM145 : Razor Wind,TM148 : Scald,TM149 : Icicle Spear,TM159 : Hydro Cannon,","Counter,Ancient Power,Flatter,Block,Aqua Jet,"
Fletchling,"— : Growl,— : Peck,8 : Quick Attack,12 : Ember,16 : Feather Dance,20 : Whirlwind,25 : Flame Wheel,30 : Steel Wing,35 : Air Slash,40 : Agility,45 : Flare Blitz,","TM017 : Protect,TM022 : Aerial Ace,TM027 : Swift,TM030 : Swords Dance,TM032 : Double Team,TM035 : Endure,TM043 : Fly,TM047 : Agility,TM050 : Overheat,TM057 : Will-O-Wisp,TM068 : Heat Wave,TM079 : Hurricane,TM082 : U-turn,TM085 : Substitute,TM094 : Whirlwind,TM104 : Flare Blitz,TM109 : Facade,TM114 : Flame Charge,TM134 : Dual Wingbeat,","Defog,Flame Charge,Quick Guard,"
